Área do Conhecimento;Quantidade
Medicina;39
Ciência da Computação;33
Física;24
Química;23
Agronomia;20
Engenharia de Materiais e Metalúrgica;16
Microbiologia;15
Matemática;14
Geociências;14
Engenharia Elétrica;14
Engenharia Química;13
Bioquímica;13
Engenharia Mecânica;12
Medicina Veterinária;12
Imunologia;10
Ecologia;9
Genética;8
Fisiologia;8
Farmacologia;8
Saúde Coletiva;7
Odontologia;6
Ciência e Tecnologia de Alimentos;5
Recursos Pesqueiros e Engenharia de Pesca;5
Biofísica;5
Administração;5
Engenharia Sanitária;4
Recursos Florestais e Engenharia Florestal;4
Zootecnia;4
Psicologia;4
Educação Física;4
Engenharia Biomédica;4
Zoologia;4
Probabilidade e Estatística;3
Educação;3
Engenharia Aeroespacial;3
Engenharia Naval e Oceânica;3
Direito;3
Farmácia;3
Antropologia;3
Economia;3
Artes;3
Linguística;3
Parasitologia;3
Planejamento Urbano e Regional;3
Nutrição;2
Biologia Geral;2
Engenharia Civil;2
Engenharia Agrícola;2
Morfologia;2
Engenharia de Produção;2
Arquitetura e Urbanismo;2
Botânica;2
Comunicação;2
Astronomia;2
Sociologia;2
Ciência Política;2
Oceanografia;2
Fisioterapia e Terapia Ocupacional;1
Enfermagem;1
Engenharia Nuclear;1
História;1
Desenho Industrial;1
Filosofia;1
