Subárea do Conhecimento;Quantidade
Clínica Médica;22
Sistemas de Computação;15
Microbiologia Aplicada;13
Metodologia e Técnicas da Computação;12
Físico-química;9
Geologia;9
Física da Matéria Condensada;9
Materiais Não-metálicos;8
Imunologia Aplicada;7
Fitossanidade;7
Ecologia de Ecossistemas;6
Física das Partículas Elementares e Campos;6
Ciência do Solo;6
Saúde Pública;6
Química Orgânica;6
Processos Industriais de Engenharia Química;6
Telecomunicações;6
Geometria e Topologia;6
Análise;5
Fitotecnia;5
Saúde Materno-infantil;5
Fenômenos de Transportes;5
Fisiologia de Órgãos e Sistemas;5
Medicina Veterinária Preventiva;4
Biologia Molecular;4
Tecnologia Química;4
Biofísica Molecular;4
Metabolismo e Bioenergética;3
Genética Humana e Médica;3
Imunologia Celular;3
Metalurgia de Transformação;3
Tecnologia de Alimentos;3
Administração de Empresas;3
Genética Animal;3
Ecologia Aplicada;3
Química de Macromoléculas;3
Reprodução Animal;3
Bioquímica de Microorganismos;3
Química Analítica;3
Protozoologia de Parasitos;3
Aquicultura;3
Produção Animal;3
Projetos de Máquinas;3
Engenharia Térmica;3
Psiquiatria;3
Instrumentação Astronômica;2
Clínica e Cirurgia Animal;2
Pesquisa Operacional;2
Anatomia;2
Anatomia Patológica e Patologia Clínica;2
Geofísica;2
Farmacologia Cardiorenal;2
Matemática Aplicada;2
Engenharia Médica;2
Economia Regional e Urbana;2
Conservação da Natureza;2
Recursos Pesqueiros de Águas Interiores;2
Tratamentos de Águas de Abastecimento e Residuárias;2
Biologia e Fisiologia dos Microorganismos;2
Física Atômica e Molecular;2
Física Geral;2
Neuropsicofarmacologia;2
Bioengenharia;2
Direito Público;2
Física Nuclear;2
Eletrônica Industrial, Sistemas e Controles Eletrônicos;2
Saneamento Ambiental;2
Farmacologia Bioquímica e Molecular;2
Linguística Aplicada;2
Análise e Controle de Medicamentos;1
Fisiologia Comparada;1
Radiologia e Fotobiologia;1
Estruturas;1
Metalurgia Extrativa;1
Álgebra;1
Infra-estrutura de Transportes;1
Genética Molecular e de Microorganismos;1
Manejo Florestal;1
Ensino-aprendizagem;1
Engenharia de Alimentos;1
Projeto de Arquitetura e Urbanismo;1
Materiais Elétricos;1
Dinâmica de Vôo;1
Meteorologia;1
Psicologia Experimental;1
Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;1
Genética Vegetal;1
Teoria da Computação;1
Administração Pública;1
Fisiologia do Esforço;1
Máquinas e Implementos Agrícolas;1
Nutrição e Alimentação Animal;1
Métodos e Técnicas do Planejamento Urbano e Regional;1
Fundamentos do Planejamento Urbano e Regional;1
Projeto de Navios e de Sistemas Oceânicos;1
Fisiologia Vegetal;1
Cirurgia Buco-maxilo-facial;1
Outras Sociologias Específicas;1
Probabilidade e Estatística Aplicadas;1
Silvicultura;1
Clínica Odontológica;1
Métodos Quantitativos em Economia;1
Aplicações de Radioisótopos;1
Patologia Animal;1
Estatística;1
Psicologia do Desenvolvimento Humano;1
Enfermagem de Saúde Pública;1
Farmacotecnia;1
Análise Nutricional de População;1
Taxonomia Vegetal;1
História Antiga e Medieval;1
Teatro;1
Taxonomia dos Grupos Recentes;1
Comunicação Visual;1
Fundamentos e Crítica das Artes;1
Lógica;1
Comportamento Animal;1
Políticas Públicas;1
Ciência de Alimentos;1
Química Inorgânica;1
Estado e Governo;1
Teoria Antropológica;1
Psicologia Fisiológica;1
Epidemiologia;1
Fisiologia dos Grupos Recentes;1
Geodésia;1
Tecnologia de Arquitetura e Urbanismo;1
Oceanografia Geológica;1
Farmacologia Clínica;1
Paleozoologia;1
Oceanografia Biológica;1
