Área do Conhecimento;Tempo médio em meses;Quantidade
Medicina;57,98461538461539;39
Ciência da Computação;47,72121212121212;33
Física;57,47083333333333;24
Química;55,27971014492754;23
Agronomia;52,19;20
Engenharia de Materiais e Metalúrgica;48,74375;16
Microbiologia;43,37777777777777;15
Geociências;60,83095238095238;14
Matemática;59,983333333333334;14
Engenharia Elétrica;47,55714285714286;14
Engenharia Química;54,46153846153846;13
Bioquímica;51,212820512820514;13
Medicina Veterinária;48,49722222222223;12
Engenharia Mecânica;46,07222222222222;12
Imunologia;51,27333333333333;10
Ecologia;58,63703703703704;9
Fisiologia;59,96666666666667;8
Genética;50,975;8
Farmacologia;55,858333333333334;8
Saúde Coletiva;59,98571428571428;7
Odontologia;59,98888888888889;6
Administração;49,78666666666667;5
Recursos Pesqueiros e Engenharia de Pesca;46,79333333333334;5
Biofísica;57,6;5
Ciência e Tecnologia de Alimentos;52,766666666666666;5
Psicologia;59,975;4
Engenharia Biomédica;41,99166666666667;4
Educação Física;47,21666666666667;4
Engenharia Sanitária;48,983333333333334;4
Recursos Florestais e Engenharia Florestal;47,983333333333334;4
Zootecnia;59,96666666666667;4
Zoologia;60,0;4
Artes;55,98888888888889;3
Antropologia;59,98888888888889;3
Parasitologia;47,97777777777778;3
Farmácia;35,97777777777778;3
Linguística;59,96666666666667;3
Planejamento Urbano e Regional;60,0;3
Probabilidade e Estatística;48,0;3
Educação;60,0;3
Engenharia Aeroespacial;48,0;3
Engenharia Naval e Oceânica;56,0;3
Economia;59,94444444444445;3
Direito;55,955555555555556;3
Astronomia;60,0;2
Biologia Geral;47,983333333333334;2
Arquitetura e Urbanismo;59,93333333333334;2
Nutrição;34,5;2
Morfologia;53,983333333333334;2
Oceanografia;61,45;2
Engenharia Agrícola;30,0;2
Ciência Política;59,96666666666667;2
Botânica;53,983333333333334;2
Comunicação;59,95;2
Engenharia Civil;60,0;2
Sociologia;59,983333333333334;2
Engenharia de Produção;59,983333333333334;2
Desenho Industrial;60,0;1
Enfermagem;59,96666666666667;1
Engenharia Nuclear;60,0;1
História;60,0;1
Filosofia;60,0;1
Fisioterapia e Terapia Ocupacional;60,0;1
